model,accuracy,precision_weighted,recall_weighted,weighted_f1,macro_f1
Logistic Regression,0.4818435754189944,0.4521561604396283,0.4818435754189944,0.4580023366581804,0.4215173360384316
Gradient Boosting,0.4860335195530726,0.45154676878461236,0.4860335195530726,0.4496596041615354,0.4081166585159704
Random Forest,0.5083798882681564,0.38510245063747434,0.5083798882681564,0.43438413437763757,0.3792621020881926
Majority Class Baseline,0.41899441340782123,0.1755563184669642,0.41899441340782123,0.24743764571328025,0.19685039370078738
